exit_session_date,rolling_730d_mean_net2.0_t,n_in_window
2006-01-06,,
2006-01-09,,
2006-01-10,,
2006-01-11,,
2006-01-12,,
2006-01-13,,
2006-01-16,,
2006-01-18,,
2006-01-19,,
2006-01-20,,
2006-01-23,,
2006-01-24,,
2006-01-25,,
2006-01-26,,
2006-01-27,,
2006-01-30,,
2006-01-31,,
2006-02-01,,
2006-02-07,,
2006-02-08,,
2006-02-09,,
2006-02-10,,
2006-02-13,,
2006-02-14,,
2006-02-15,,
2006-02-16,,
2006-02-17,,
2006-02-20,,
2006-02-22,,
2006-02-23,,
2006-02-24,,
2006-02-27,,
2006-02-28,,
2006-03-01,,
2006-03-02,,
2006-03-03,,
2006-03-07,,
2006-03-08,,
2006-03-09,,
2006-03-10,,
2006-03-13,,
2006-03-14,,
2006-03-15,,
2006-03-16,,
2006-03-17,,
2006-03-20,,
2006-03-21,,
2006-03-22,,
2006-03-27,,
2006-03-28,,
2006-03-29,,
2006-03-30,,
2006-03-31,,
2006-04-03,,
2006-04-04,,
2006-04-05,,
2006-04-06,,
2006-04-07,,
2006-04-10,,
2006-04-11,,
2006-04-12,,
2006-04-13,,
2006-04-17,,
2006-04-18,,
2006-04-19,,
2006-04-20,,
2006-04-21,,
2006-04-24,,
2006-04-25,,
2006-04-26,,
2006-04-27,,
2006-04-28,,
2006-05-02,,
2006-05-03,,
2006-05-04,,
2006-05-05,,
2006-05-09,,
2006-05-10,,
2006-05-11,,
2006-05-12,,
2006-05-16,,
2006-05-17,,
2006-05-18,,
2006-05-19,,
2006-05-23,,
2006-05-24,,
2006-05-25,,
2006-05-26,,
2006-05-29,,
2006-05-31,,
2006-06-01,,
2006-06-02,,
2006-06-05,,
2006-06-06,,
2006-06-07,,
2006-06-08,,
2006-06-09,,
2006-06-12,,
2006-06-13,,
2006-06-14,,
2006-06-15,,
2006-06-16,,
2006-06-19,,
2006-06-20,,
2006-06-21,,
2006-06-22,,
2006-06-23,,
2006-06-26,,
2006-06-27,,
2006-06-28,,
2006-06-29,,
2006-06-30,,
2006-07-03,,
2006-07-04,,
2006-07-06,,
2006-07-07,,
2006-07-10,,
2006-07-11,,
2006-07-12,,
2006-07-13,,
2006-07-14,,
2006-07-17,,
2006-07-18,,
2006-07-19,,
2006-07-20,,
2006-07-21,,
2006-07-24,,
2006-07-25,,
2006-07-26,,
2006-07-27,,
2006-07-28,,
2006-07-31,,
2006-08-01,,
2006-08-02,,
2006-08-03,,
2006-08-04,,
2006-08-07,,
